1 0,883 path: 1 
2 0,837967 path: 1 1 
3 0,556410088 path: 1 1 1 
4 0,311033239192 path: 1 1 1 1 
5 0,161426251140648 path: 1 1 1 1 1 
6 0,0255053476802224 path: 1 1 1 1 1 1 
7 0,0742560755246981 path: 1 1 1 1 1 0 
8 0,0616648279357275 path: 1 1 1 1 1 2 
9 0,0077758309798 path: 1 1 1 1 0 
10 0,0012285812948084 path: 1 1 1 1 0 1 
11 0,003576882250708 path: 1 1 1 1 0 0 
12 0,0029703674342836 path: 1 1 1 1 0 2 
13 0,141831157071552 path: 1 1 1 1 2 
14 0,0224093228173052 path: 1 1 1 1 2 1 
15 0,0652423322529139 path: 1 1 1 1 2 0 
16 0,0541795020013329 path: 1 1 1 1 2 2 
17 0,060092289504 path: 1 1 1 0 
18 0,031187898252576 path: 1 1 1 0 1 
19 0,00492768792390701 path: 1 1 1 0 1 1 
20 0,014346433196185 path: 1 1 1 0 1 0 
21 0,011913777132484 path: 1 1 1 0 1 2 
22 0,0015023072376 path: 1 1 1 0 0 
23 0,0002373645435408 path: 1 1 1 0 0 1 
24 0,000691061329296 path: 1 1 1 0 0 0 
25 0,0005738813647632 path: 1 1 1 0 0 2 
26 0,027402084013824 path: 1 1 1 0 2 
27 0,00432952927418419 path: 1 1 1 0 2 1 
28 0,012604958646359 path: 1 1 1 0 2 0 
29 0,0104675960932808 path: 1 1 1 0 2 2 
30 0,185284559304 path: 1 1 1 2 
31 0,096162686278776 path: 1 1 1 2 1 
32 0,0151937044320466 path: 1 1 1 2 1 1 
33 0,044234835688237 path: 1 1 1 2 1 0 
34 0,0367341461584924 path: 1 1 1 2 1 2 
35 0,0046321139826 path: 1 1 1 2 0 
36 0,0007318740092508 path: 1 1 1 2 0 1 
37 0,002130772431996 path: 1 1 1 2 0 0 
38 0,0017694675413532 path: 1 1 1 2 0 2 
39 0,084489759042624 path: 1 1 1 2 2 
40 0,0133493819287346 path: 1 1 1 2 2 1 
41 0,038865289159607 path: 1 1 1 2 2 0 
42 0,0322750879542824 path: 1 1 1 2 2 2 
43 0,102231974 path: 1 1 0 
44 0,057147673466 path: 1 1 0 1 
45 0,029659642528854 path: 1 1 0 1 1 
46 0,00468622351955893 path: 1 1 0 1 1 1 
47 0,0136434355632728 path: 1 1 0 1 1 0 
48 0,0113299834460222 path: 1 1 0 1 1 2 
49 0,00142869183665 path: 1 1 0 1 0 
50 0,0002257333101907 path: 1 1 0 1 0 1 
51 0,000657198244859 path: 1 1 0 1 0 0 
52 0,0005457602816003 path: 1 1 0 1 0 2 
53 0,026059339100496 path: 1 1 0 1 2 
54 0,00411737557787837 path: 1 1 0 1 2 1 
55 0,0119872959862282 path: 1 1 0 1 2 0 
56 0,00995466753638947 path: 1 1 0 1 2 2 
57 0,011041053192 path: 1 1 0 0 
58 0,005730306606648 path: 1 1 0 0 1 
59 0,000905388443850384 path: 1 1 0 0 1 1 
60 0,00263594103905808 path: 1 1 0 0 1 0 
61 0,00218897712373954 path: 1 1 0 0 1 2 
62 0,0002760263298 path: 1 1 0 0 0 
63 4,36121601084E-05 path: 1 1 0 0 0 1 
64 0,000126972111708 path: 1 1 0 0 0 0 
65 0,0001054420579836 path: 1 1 0 0 0 2 
66 0,005034720255552 path: 1 1 0 0 2 
67 0,000795485800377216 path: 1 1 0 0 2 1 
68 0,00231597131755392 path: 1 1 0 0 2 0 
69 0,00192326313762086 path: 1 1 0 0 2 2 
70 0,034043247342 path: 1 1 0 2 
71 0,017668445370498 path: 1 1 0 2 1 
72 0,00279161436853868 path: 1 1 0 2 1 1 
73 0,00812748487042908 path: 1 1 0 2 1 0 
74 0,00674934613153023 path: 1 1 0 2 1 2 
75 0,00085108118355 path: 1 1 0 2 0 
76 0,0001344708270009 path: 1 1 0 2 0 1 
77 0,000391497344433 path: 1 1 0 2 0 0 
78 0,0003251130121161 path: 1 1 0 2 0 2 
79 0,015523720787952 path: 1 1 0 2 2 
80 0,00245274788449642 path: 1 1 0 2 2 1 
81 0,00714091156245792 path: 1 1 0 2 2 0 
82 0,00593006134099766 path: 1 1 0 2 2 2 
83 0,179324938 path: 1 1 2 
84 0,100242640342 path: 1 1 2 1 
85 0,052025930337498 path: 1 1 2 1 1 
86 0,00822009699332468 path: 1 1 2 1 1 1 
87 0,0239319279552491 path: 1 1 2 1 1 0 
